epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,303.878,0.52435,0.50904,0.92997,0.9384,0.38717,0.42039,0.29351,1.80747,2.51771,1.51556,1.16739e-05,1.16739e-05,1.16739e-05
92,306.882,0.67381,0.71648,0.95488,0.94473,0.38758,0.42075,0.29222,1.7979,2.57291,1.50104,1.07315e-05,1.07315e-05,1.07315e-05
93,309.978,0.41063,0.47623,0.9539,0.94473,0.38758,0.42075,0.29222,1.7979,2.57291,1.50104,9.76562e-06,9.76562e-06,9.76562e-06
94,312.841,0.54682,0.52862,0.88947,0.94473,0.38758,0.42075,0.29222,1.7979,2.57291,1.50104,8.77613e-06,8.77613e-06,8.77613e-06
95,315.638,0.43518,0.49886,0.93235,0.94473,0.38758,0.42075,0.29222,1.7979,2.57291,1.50104,7.76308e-06,7.76308e-06,7.76308e-06
96,318.85,0.45043,0.48234,0.97342,0.9418,0.38333,0.41875,0.29048,1.83159,2.62298,1.54553,6.72648e-06,6.72648e-06,6.72648e-06
97,321.715,0.67401,0.69645,1.02327,0.9418,0.38333,0.41875,0.29048,1.83159,2.62298,1.54553,5.6663e-06,5.6663e-06,5.6663e-06
98,324.506,0.48093,0.53645,0.91095,0.9418,0.38333,0.41875,0.29048,1.83159,2.62298,1.54553,4.58257e-06,4.58257e-06,4.58257e-06
99,327.768,0.56192,0.61049,0.95646,0.9418,0.38333,0.41875,0.29048,1.83159,2.62298,1.54553,3.47528e-06,3.47528e-06,3.47528e-06
100,330.707,0.46368,0.49074,0.96908,0.94842,0.3816,0.41899,0.29,1.80924,2.66297,1.51098,2.34442e-06,2.34442e-06,2.34442e-06
